Latitude (decimal degrees):	49.596
Longitude (decimal degrees):	11.008
Elevation (m):	281
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: -6 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0030,0.0,0.0,0.0,0.0,0.0,3.39,3.03,0.0
20050101:0130,0.0,0.0,0.0,0.0,0.0,3.47,2.9,0.0
20050101:0230,0.0,0.0,0.0,0.0,0.0,3.47,2.76,0.0
20050101:0330,0.0,0.0,0.0,0.0,0.0,3.34,2.69,0.0
20050101:0430,0.0,0.0,0.0,0.0,0.0,3.44,2.62,0.0
20050101:0530,0.0,0.0,0.0,0.0,0.0,3.6,2.62,0.0
20050101:0630,0.0,0.0,0.0,0.0,0.0,3.74,2.76,0.0
20050101:0730,0.0,0.0,1.98,0.05,1.39,3.97,2.62,0.0
20050101:0830,2.88,0.68,10.63,0.29,8.24,4.1,2.62,0.0
20050101:0930,16.36,3.15,27.49,0.77,13.43,4.24,2.41,0.0
20050101:1030,32.03,17.31,32.42,1.0,16.57,4.48,2.28,0.0
20050101:1130,45.43,20.43,44.92,1.35,17.36,4.65,2.28,0.0
20050101:1230,61.66,39.88,43.71,1.43,15.72,4.92,2.28,0.0
20050101:1330,35.0,31.48,21.95,0.78,11.81,5.06,2.07,0.0
20050101:1430,2.21,1.21,8.95,0.25,5.98,4.87,1.72,0.0
20050101:1530,0.0,0.0,0.0,0.0,-1.35,4.59,2.0,0.0
20050101:1630,0.0,0.0,0.0,0.0,0.0,4.46,2.55,0.0
20050101:1730,0.0,0.0,0.0,0.0,0.0,4.36,3.1,0.0
20050101:1830,0.0,0.0,0.0,0.0,0.0,4.14,3.03,0.0
20050101:1930,0.0,0.0,0.0,0.0,0.0,4.15,2.9,0.0
20050101:2030,0.0,0.0,0.0,0.0,0.0,4.37,3.17,0.0
20050101:2130,0.0,0.0,0.0,0.0,0.0,4.61,3.45,0.0
20050101:2230,0.0,0.0,0.0,0.0,0.0,4.58,3.38,0.0
20050101:2330,0.0,0.0,0.0,0.0,0.0,5.0,3.66,0.0
20050102:0030,0.0,0.0,0.0,0.0,0.0,5.6,4.28,0.0
20050102:0130,0.0,0.0,0.0,0.0,0.0,6.12,4.48,0.0
20050102:0230,0.0,0.0,0.0,0.0,0.0,6.54,5.03,0.0
20050102:0330,0.0,0.0,0.0,0.0,0.0,6.96,5.45,0.0
20050102:0430,0.0,0.0,0.0,0.0,0.0,7.25,5.38,0.0
20050102:0530,0.0,0.0,0.0,0.0,0.0,7.32,5.79,0.0
20050102:0630,0.0,0.0,0.0,0.0,0.0,7.04,5.59,0.0
20050102:0730,0.0,0.0,4.0,0.11,1.41,6.7,5.79,0.0
20050102:0830,65.0,57.75,30.18,0.96,8.27,5.91,4.76,0.0
20050102:0930,119.93,85.21,61.77,1.99,13.48,5.34,4.9,0.0
20050102:1030,138.92,73.53,93.6,2.81,16.64,4.9,5.1,0.0
20050102:1130,138.29,54.73,111.72,3.22,17.45,4.55,5.24,0.0
20050102:1230,88.91,14.38,99.2,2.75,15.82,4.29,5.1,0.0
20050102:1330,84.28,28.5,79.97,2.22,11.93,3.98,4.97,0.0
20050102:1430,102.65,81.82,48.58,1.28,6.11,3.77,4.62,0.0
20050102:1530,0.0,0.0,0.0,0.0,-1.22,3.21,4.21,0.0
20050102:1630,0.0,0.0,0.0,0.0,0.0,2.63,4.07,0.0
20050102:1730,0.0,0.0,0.0,0.0,0.0,2.13,4.14,0.0
20050102:1830,0.0,0.0,0.0,0.0,0.0,1.96,4.21,0.0
20050102:1930,0.0,0.0,0.0,0.0,0.0,1.76,4.14,0.0
20050102:2030,0.0,0.0,0.0,0.0,0.0,1.36,4.14,0.0
20050102:2130,0.0,0.0,0.0,0.0,0.0,0.96,4.14,0.0
20050102:2230,0.0,0.0,0.0,0.0,0.0,0.71,4.21,0.0
20050102:2330,0.0,0.0,0.0,0.0,0.0,0.69,4.34,0.0
20050103:0030,0.0,0.0,0.0,0.0,0.0,0.71,4.48,0.0
20050103:0130,0.0,0.0,0.0,0.0,0.0,0.82,4.62,0.0
20050103:0230,0.0,0.0,0.0,0.0,0.0,0.92,4.83,0.0
20050103:0330,0.0,0.0,0.0,0.0,0.0,0.82,4.9,0.0
20050103:0430,0.0,0.0,0.0,0.0,0.0,0.9,5.03,0.0
20050103:0530,0.0,0.0,0.0,0.0,0.0,0.97,5.17,0.0
20050103:0630,0.0,0.0,0.0,0.0,0.0,1.08,5.31,0.0
20050103:0730,0.64,0.0,6.9,0.19,1.43,1.5,5.59,0.0
20050103:0830,28.83,11.22,34.44,0.95,8.31,1.81,5.66,0.0
20050103:0930,55.63,12.03,64.24,1.79,13.54,2.17,4.83,0.0
20050103:1030,248.58,165.28,114.9,3.69,16.72,2.62,7.38,0.0
20050103:1130,196.4,135.29,90.23,3.1,17.54,3.23,7.59,0.0
20050103:1230,35.8,5.15,48.91,1.36,15.93,3.36,7.31,0.0
20050103:1330,11.5,0.0,24.13,0.66,12.05,3.05,5.31,0.0
20050103:1430,5.37,0.47,14.86,0.41,6.24,2.82,5.45,0.0
20050103:1530,0.0,0.0,0.0,0.0,-1.09,2.72,5.24,0.0
20050103:1630,0.0,0.0,0.0,0.0,0.0,2.61,5.1,0.0
20050103:1730,0.0,0.0,0.0,0.0,0.0,2.63,5.1,0.0
20050103:1830,0.0,0.0,0.0,0.0,0.0,2.75,4.97,0.0
20050103:1930,0.0,0.0,0.0,0.0,0.0,2.9,5.03,0.0
20050103:2030,0.0,0.0,0.0,0.0,0.0,3.01,5.1,0.0
20050103:2130,0.0,0.0,0.0,0.0,0.0,3.06,5.31,0.0
20050103:2230,0.0,0.0,0.0,0.0,0.0,3.08,5.31,0.0
20050103:2330,0.0,0.0,0.0,0.0,0.0,3.08,5.17,0.0
20050104:0030,0.0,0.0,0.0,0.0,0.0,3.01,5.24,0.0
20050104:0130,0.0,0.0,0.0,0.0,0.0,2.87,5.38,0.0
20050104:0230,0.0,0.0,0.0,0.0,0.0,2.95,5.52,0.0
20050104:0330,0.0,0.0,0.0,0.0,0.0,3.07,5.59,0.0
20050104:0430,0.0,0.0,0.0,0.0,0.0,3.15,5.66,0.0
20050104:0530,0.0,0.0,0.0,0.0,0.0,3.22,5.66,0.0
20050104:0630,0.0,0.0,0.0,0.0,0.0,3.22,5.59,0.0
20050104:0730,0.0,0.0,2.07,0.06,1.46,3.21,5.45,0.0
20050104:0830,11.15,3.79,19.86,0.55,8.36,3.23,5.38,0.0
20050104:0930,18.66,6.4,27.01,0.77,13.6,3.37,5.38,0.0
20050104:1030,92.9,49.31,67.59,2.08,16.8,3.44,5.31,0.0
20050104:1130,131.69,75.84,82.6,2.62,17.65,3.67,4.83,0.0
20050104:1230,144.51,89.11,83.2,2.65,16.05,3.98,5.24,0.0
20050104:1330,93.3,57.41,60.72,1.85,12.18,4.07,4.76,0.0
20050104:1430,47.78,39.63,29.31,0.85,6.37,3.95,4.21,0.0
20050104:1530,0.0,0.0,0.0,0.0,-0.95,3.56,3.79,0.0
20050104:1630,0.0,0.0,0.0,0.0,0.0,3.07,3.59,0.0
20050104:1730,0.0,0.0,0.0,0.0,0.0,2.73,3.52,0.0
20050104:1830,0.0,0.0,0.0,0.0,0.0,2.39,3.45,0.0
20050104:1930,0.0,0.0,0.0,0.0,0.0,2.52,3.52,0.0
20050104:2030,0.0,0.0,0.0,0.0,0.0,2.27,3.38,0.0
20050104:2130,0.0,0.0,0.0,0.0,0.0,2.0,3.38,0.0
20050104:2230,0.0,0.0,0.0,0.0,0.0,1.82,3.38,0.0
20050104:2330,0.0,0.0,0.0,0.0,0.0,1.7,3.38,0.0
20050105:0030,0.0,0.0,0.0,0.0,0.0,1.61,3.38,0.0
20050105:0130,0.0,0.0,0.0,0.0,0.0,1.51,3.38,0.0
20050105:0230,0.0,0.0,0.0,0.0,0.0,1.43,3.38,0.0
20050105:0330,0.0,0.0,0.0,0.0,0.0,1.32,3.59,0.0
20050105:0430,0.0,0.0,0.0,0.0,0.0,1.05,3.72,0.0
20050105:0530,0.0,0.0,0.0,0.0,0.0,0.74,3.59,0.0
20050105:0630,0.0,0.0,0.0,0.0,0.0,0.99,3.38,0.0
20050105:0730,0.0,0.0,2.42,0.07,1.49,1.82,3.38,0.0
20050105:0830,1.39,0.0,8.48,0.23,8.41,1.98,3.17,0.0
20050105:0930,4.4,0.0,13.76,0.38,13.68,2.0,3.03,0.0
20050105:1030,8.11,0.0,19.34,0.53,16.89,1.98,2.97,0.0
20050105:1130,7.7,0.0,18.77,0.51,17.76,2.22,2.9,0.0
20050105:1230,11.85,0.14,24.4,0.67,16.18,2.34,2.9,0.0
20050105:1330,5.42,0.0,15.39,0.42,12.32,2.51,2.9,0.0
20050105:1430,0.04,0.0,5.49,0.15,6.52,2.6,3.17,0.0
20050105:1530,0.0,0.0,0.0,0.0,-0.8,2.69,3.03,0.0
20050105:1630,0.0,0.0,0.0,0.0,0.0,2.85,2.9,0.0
20050105:1730,0.0,0.0,0.0,0.0,0.0,3.27,2.97,0.0
20050105:1830,0.0,0.0,0.0,0.0,0.0,3.75,3.24,0.0
20050105:1930,0.0,0.0,0.0,0.0,0.0,4.55,3.72,0.0
20050105:2030,0.0,0.0,0.0,0.0,0.0,5.03,4.07,0.0
20050105:2130,0.0,0.0,0.0,0.0,0.0,5.3,4.14,0.0
20050105:2230,0.0,0.0,0.0,0.0,0.0,5.47,3.86,0.0
20050105:2330,0.0,0.0,0.0,0.0,0.0,5.52,3.79,0.0
20050106:0030,0.0,0.0,0.0,0.0,0.0,5.56,4.0,0.0
20050106:0130,0.0,0.0,0.0,0.0,0.0,5.8,4.14,0.0
20050106:0230,0.0,0.0,0.0,0.0,0.0,5.81,4.21,0.0
20050106:0330,0.0,0.0,0.0,0.0,0.0,5.77,4.28,0.0
20050106:0430,0.0,0.0,0.0,0.0,0.0,5.8,4.69,0.0
20050106:0530,0.0,0.0,0.0,0.0,0.0,5.92,5.66,0.0
20050106:0630,0.0,0.0,0.0,0.0,0.0,5.66,5.52,0.0
20050106:0730,0.0,0.0,3.56,0.1,1.54,5.42,5.24,0.0
20050106:0830,13.16,3.3,23.3,0.65,8.47,5.58,5.31,0.0
20050106:0930,279.06,221.34,96.62,3.3,13.76,5.58,5.38,0.0
20050106:1030,402.06,335.36,118.66,4.72,16.99,6.05,4.9,0.0
20050106:1130,468.1,388.92,140.62,5.58,17.88,6.32,4.97,0.0
20050106:1230,341.67,279.32,108.64,4.24,16.31,6.43,4.83,0.0
20050106:1330,218.13,159.81,94.99,3.0,12.46,6.23,4.0,0.0
20050106:1430,52.19,30.7,43.71,1.18,6.67,6.15,3.79,0.0
20050106:1530,0.0,0.0,0.0,0.0,-0.65,5.6,3.59,0.0
20050106:1630,0.0,0.0,0.0,0.0,0.0,5.25,3.38,0.0
20050106:1730,0.0,0.0,0.0,0.0,0.0,4.9,3.17,0.0
20050106:1830,0.0,0.0,0.0,0.0,0.0,4.49,3.03,0.0
20050106:1930,0.0,0.0,0.0,0.0,0.0,4.34,3.17,0.0
20050106:2030,0.0,0.0,0.0,0.0,0.0,4.04,3.1,0.0
20050106:2130,0.0,0.0,0.0,0.0,0.0,3.73,3.03,0.0
20050106:2230,0.0,0.0,0.0,0.0,0.0,3.46,3.03,0.0
20050106:2330,0.0,0.0,0.0,0.0,0.0,3.39,3.03,0.0
20050107:0030,0.0,0.0,0.0,0.0,0.0,3.83,3.24,0.0
20050107:0130,0.0,0.0,0.0,0.0,0.0,3.75,3.1,0.0
20050107:0230,0.0,0.0,0.0,0.0,0.0,3.88,3.03,0.0
20050107:0330,0.0,0.0,0.0,0.0,0.0,4.08,3.1,0.0
20050107:0430,0.0,0.0,0.0,0.0,0.0,4.32,3.24,0.0
20050107:0530,0.0,0.0,0.0,0.0,0.0,4.39,3.31,0.0
20050107:0630,0.0,0.0,0.0,0.0,0.0,4.53,3.38,0.0
20050107:0730,0.25,0.0,6.07,0.17,1.59,5.39,3.72,0.0
20050107:0830,41.64,25.53,35.93,1.02,8.54,5.68,3.79,0.0
20050107:0930,176.27,131.76,76.51,2.53,13.84,5.93,3.72,0.0
20050107:1030,240.72,179.7,99.06,3.48,17.1,6.61,3.24,0.0
20050107:1130,389.07,314.36,129.82,4.96,18.0,7.08,3.59,0.0
20050107:1230,262.29,183.48,120.46,3.94,16.45,7.74,3.86,0.0
20050107:1330,195.41,140.53,91.36,2.87,12.61,7.91,3.72,0.0
20050107:1430,96.69,80.86,44.94,1.29,6.82,7.84,3.72,0.0
20050107:1530,0.0,0.0,0.0,0.0,-0.49,7.24,3.72,0.0
20050107:1630,0.0,0.0,0.0,0.0,0.0,6.46,3.66,0.0
20050107:1730,0.0,0.0,0.0,0.0,0.0,6.0,3.52,0.0
20050107:1830,0.0,0.0,0.0,0.0,0.0,5.56,3.24,0.0
20050107:1930,0.0,0.0,0.0,0.0,0.0,5.82,2.83,0.0
20050107:2030,0.0,0.0,0.0,0.0,0.0,5.71,2.69,0.0
20050107:2130,0.0,0.0,0.0,0.0,0.0,4.96,2.48,0.0
20050107:2230,0.0,0.0,0.0,0.0,0.0,4.6,2.41,0.0
20050107:2330,0.0,0.0,0.0,0.0,0.0,4.13,2.28,0.0
20050108:0030,0.0,0.0,0.0,0.0,0.0,3.76,2.21,0.0
20050108:0130,0.0,0.0,0.0,0.0,0.0,3.41,2.21,0.0
20050108:0230,0.0,0.0,0.0,0.0,0.0,2.91,2.28,0.0
20050108:0330,0.0,0.0,0.0,0.0,0.0,2.6,2.34,0.0
20050108:0430,0.0,0.0,0.0,0.0,0.0,2.47,2.55,0.0
20050108:0530,0.0,0.0,0.0,0.0,0.0,2.55,2.76,0.0
20050108:0630,0.0,0.0,0.0,0.0,0.0,2.81,2.9,0.0
20050108:0730,1.99,0.0,9.67,0.26,1.64,3.6,3.38,0.0
20050108:0830,317.6,276.94,86.08,2.59,8.61,4.39,3.45,0.0
20050108:0930,494.15,447.77,116.57,4.83,13.94,6.45,3.86,0.0
20050108:1030,586.25,547.71,130.2,6.32,17.22,8.94,4.48,0.0
20050108:1130,587.41,551.5,131.44,6.62,18.13,10.91,5.1,0.0
20050108:1230,530.57,494.91,122.03,5.92,16.6,11.97,5.52,0.0
20050108:1330,405.66,370.6,102.33,4.26,12.77,12.29,5.72,0.0
20050108:1430,194.2,171.86,65.94,1.89,6.98,11.92,5.93,0.0
20050108:1530,0.0,0.0,0.0,0.0,-0.33,11.12,6.0,0.0
20050108:1630,0.0,0.0,0.0,0.0,0.0,10.47,5.86,0.0
20050108:1730,0.0,0.0,0.0,0.0,0.0,9.89,5.93,0.0
20050108:1830,0.0,0.0,0.0,0.0,0.0,9.15,5.93,0.0
20050108:1930,0.0,0.0,0.0,0.0,0.0,9.42,6.28,0.0
20050108:2030,0.0,0.0,0.0,0.0,0.0,8.68,6.07,0.0
20050108:2130,0.0,0.0,0.0,0.0,0.0,7.97,5.38,0.0
20050108:2230,0.0,0.0,0.0,0.0,0.0,7.28,4.62,0.0
20050108:2330,0.0,0.0,0.0,0.0,0.0,6.64,4.0,0.0
20050109:0030,0.0,0.0,0.0,0.0,0.0,6.27,3.66,0.0
20050109:0130,0.0,0.0,0.0,0.0,0.0,5.83,3.45,0.0
20050109:0230,0.0,0.0,0.0,0.0,0.0,5.42,3.45,0.0
20050109:0330,0.0,0.0,0.0,0.0,0.0,5.11,3.66,0.0
20050109:0430,0.0,0.0,0.0,0.0,0.0,5.02,3.86,0.0
20050109:0530,0.0,0.0,0.0,0.0,0.0,4.91,4.0,0.0
20050109:0630,0.0,0.0,0.0,0.0,0.0,4.66,4.0,0.0
20050109:0730,1.8,0.0,9.36,0.26,1.71,5.15,3.59,0.0
20050109:0830,225.35,188.64,73.74,2.15,8.69,5.05,3.45,0.0
20050109:0930,362.81,312.54,100.67,3.88,14.04,5.88,3.38,0.0
20050109:1030,421.39,346.95,134.37,5.1,17.34,6.75,3.31,0.0
20050109:1130,352.82,274.23,129.0,4.75,18.27,7.47,4.0,0.0
20050109:1230,403.95,329.15,132.56,5.02,16.75,7.76,4.28,0.0
20050109:1330,363.8,316.16,102.72,3.99,12.93,7.98,4.0,0.0
20050109:1430,182.67,158.58,63.25,1.85,7.15,7.95,3.52,0.0
20050109:1530,0.0,0.0,0.0,0.0,-0.16,7.26,2.69,0.0
20050109:1630,0.0,0.0,0.0,0.0,0.0,6.18,2.41,0.0
20050109:1730,0.0,0.0,0.0,0.0,0.0,5.5,2.28,0.0
20050109:1830,0.0,0.0,0.0,0.0,0.0,5.1,2.21,0.0
20050109:1930,0.0,0.0,0.0,0.0,0.0,4.36,2.21,0.0
20050109:2030,0.0,0.0,0.0,0.0,0.0,4.17,2.21,0.0
20050109:2130,0.0,0.0,0.0,0.0,0.0,4.04,2.28,0.0
20050109:2230,0.0,0.0,0.0,0.0,0.0,4.11,2.41,0.0
20050109:2330,0.0,0.0,0.0,0.0,0.0,4.76,2.55,0.0
20050110:0030,0.0,0.0,0.0,0.0,0.0,5.27,2.62,0.0
20050110:0130,0.0,0.0,0.0,0.0,0.0,5.24,2.55,0.0
20050110:0230,0.0,0.0,0.0,0.0,0.0,5.13,2.48,0.0
20050110:0330,0.0,0.0,0.0,0.0,0.0,4.48,2.34,0.0
20050110:0430,0.0,0.0,0.0,0.0,0.0,4.03,2.34,0.0
20050110:0530,0.0,0.0,0.0,0.0,0.0,3.58,2.34,0.0
20050110:0630,0.0,0.0,0.0,0.0,0.0,3.17,2.34,0.0
20050110:0730,0.87,0.0,7.47,0.2,1.78,4.46,2.41,0.0
20050110:0830,120.47,97.0,51.86,1.54,8.78,5.09,2.34,0.0
20050110:0930,231.37,181.66,87.5,3.01,14.15,5.95,2.21,0.0
20050110:1030,332.94,268.16,115.83,4.35,17.47,7.3,2.14,0.0
20050110:1130,469.98,413.66,132.4,5.73,18.42,8.36,2.21,0.0
20050110:1230,368.05,286.02,143.28,4.97,16.91,9.59,2.28,0.0
20050110:1330,255.16,185.57,116.8,3.59,13.1,9.96,2.07,0.0
20050110:1430,169.21,141.21,67.78,1.89,7.32,9.75,2.14,0.0
20050110:1530,0.0,0.0,4.72,0.14,0.01,8.64,2.34,0.0
20050110:1630,0.0,0.0,0.0,0.0,0.0,7.18,2.48,0.0
20050110:1730,0.0,0.0,0.0,0.0,0.0,6.3,2.48,0.0
20050110:1830,0.0,0.0,0.0,0.0,0.0,5.66,2.55,0.0
20050110:1930,0.0,0.0,0.0,0.0,0.0,4.92,2.48,0.0
20050110:2030,0.0,0.0,0.0,0.0,0.0,4.61,2.48,0.0
20050110:2130,0.0,0.0,0.0,0.0,0.0,4.36,2.48,0.0
20050110:2230,0.0,0.0,0.0,0.0,0.0,4.15,2.62,0.0
20050110:2330,0.0,0.0,0.0,0.0,0.0,4.04,2.76,0.0
20050111:0030,0.0,0.0,0.0,0.0,0.0,3.82,2.83,0.0
20050111:0130,0.0,0.0,0.0,0.0,0.0,3.68,2.83,0.0
20050111:0230,0.0,0.0,0.0,0.0,0.0,3.41,2.76,0.0
20050111:0330,0.0,0.0,0.0,0.0,0.0,3.21,2.69,0.0
20050111:0430,0.0,0.0,0.0,0.0,0.0,2.87,2.55,0.0
20050111:0530,0.0,0.0,0.0,0.0,0.0,2.69,2.62,0.0
20050111:0630,0.0,0.0,0.0,0.0,0.0,2.82,2.69,0.0
20050111:0730,0.94,0.0,7.6,0.21,1.86,3.49,2.9,0.0
20050111:0830,24.24,6.51,34.09,0.94,8.87,4.43,2.76,0.0
20050111:0930,39.63,3.14,55.96,1.54,14.26,5.41,2.62,0.0
20050111:1030,85.71,29.05,81.97,2.37,17.6,6.15,2.07,0.0
20050111:1130,97.57,34.41,89.9,2.62,18.58,6.83,2.41,0.0
20050111:1230,56.26,19.32,59.18,1.73,17.08,7.34,3.03,0.0
20050111:1330,90.42,52.22,64.64,1.97,13.27,7.48,2.55,0.0
20050111:1430,69.38,53.99,40.77,1.2,7.5,7.64,2.28,0.0
20050111:1530,0.0,0.0,4.07,0.12,0.18,7.22,1.86,0.0
20050111:1630,0.0,0.0,0.0,0.0,0.0,6.16,1.79,0.0
20050111:1730,0.0,0.0,0.0,0.0,0.0,5.61,1.79,0.0
20050111:1830,0.0,0.0,0.0,0.0,0.0,5.25,1.79,0.0
20050111:1930,0.0,0.0,0.0,0.0,0.0,5.24,2.07,0.0
20050111:2030,0.0,0.0,0.0,0.0,0.0,4.82,2.21,0.0
20050111:2130,0.0,0.0,0.0,0.0,0.0,4.41,2.28,0.0
20050111:2230,0.0,0.0,0.0,0.0,0.0,4.43,2.34,0.0
20050111:2330,0.0,0.0,0.0,0.0,0.0,4.29,2.55,0.0
20050112:0030,0.0,0.0,0.0,0.0,0.0,4.32,2.62,0.0
20050112:0130,0.0,0.0,0.0,0.0,0.0,4.59,2.55,0.0
20050112:0230,0.0,0.0,0.0,0.0,0.0,5.18,2.48,0.0
20050112:0330,0.0,0.0,0.0,0.0,0.0,5.52,2.48,0.0
20050112:0430,0.0,0.0,0.0,0.0,0.0,5.91,2.48,0.0
20050112:0530,0.0,0.0,0.0,0.0,0.0,6.09,2.34,0.0
20050112:0630,0.0,0.0,0.0,0.0,0.0,6.28,2.41,0.0
20050112:0730,0.0,0.0,3.91,0.11,1.94,5.98,2.41,0.0
20050112:0830,12.26,10.8,14.63,0.44,8.98,6.31,2.48,0.0
20050112:0930,20.11,2.03,33.71,0.93,14.39,6.59,2.62,0.0
20050112:1030,52.93,27.61,46.79,1.45,17.75,6.9,2.76,0.0
20050112:1130,29.05,9.45,37.35,1.09,18.74,7.36,2.83,0.0
20050112:1230,13.76,0.0,27.61,0.75,17.25,7.45,2.76,0.0
20050112:1330,18.24,6.22,27.21,0.78,13.45,7.42,2.69,0.0
20050112:1430,2.85,0.2,11.18,0.31,7.68,7.45,2.55,0.0
20050112:1530,0.0,0.0,0.98,0.03,0.37,7.31,2.48,0.0
20050112:1630,0.0,0.0,0.0,0.0,0.0,7.13,2.48,0.0
20050112:1730,0.0,0.0,0.0,0.0,0.0,7.0,2.48,0.0
20050112:1830,0.0,0.0,0.0,0.0,0.0,6.92,2.55,0.0
20050112:1930,0.0,0.0,0.0,0.0,0.0,7.07,2.69,0.0
20050112:2030,0.0,0.0,0.0,0.0,0.0,6.98,2.9,0.0
20050112:2130,0.0,0.0,0.0,0.0,0.0,6.8,3.24,0.0
20050112:2230,0.0,0.0,0.0,0.0,0.0,6.53,3.72,0.0
20050112:2330,0.0,0.0,0.0,0.0,0.0,6.09,3.17,0.0
20050113:0030,0.0,0.0,0.0,0.0,0.0,5.35,2.62,0.0
20050113:0130,0.0,0.0,0.0,0.0,0.0,4.57,2.48,0.0
20050113:0230,0.0,0.0,0.0,0.0,0.0,4.01,2.55,0.0
20050113:0330,0.0,0.0,0.0,0.0,0.0,3.54,2.76,0.0
20050113:0430,0.0,0.0,0.0,0.0,0.0,3.6,2.9,0.0
20050113:0530,0.0,0.0,0.0,0.0,0.0,3.59,3.03,0.0
20050113:0630,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
20050113:0730,1.95,0.0,9.58,0.26,2.03,2.85,0.0,0.0
20050113:0830,51.14,26.7,44.88,1.26,9.09,2.7,3.1,0.0
20050113:0930,226.3,151.6,107.45,3.31,14.52,3.02,4.21,0.0
20050113:1030,337.62,241.49,136.64,4.64,17.9,3.1,4.62,0.0
20050113:1130,414.51,326.53,137.22,5.32,18.9,3.43,4.21,0.0
20050113:1230,421.88,357.45,115.88,5.06,17.43,3.86,4.07,0.0
20050113:1330,346.02,298.57,92.44,3.87,13.64,4.14,4.21,0.0
20050113:1430,165.23,141.04,57.23,1.81,7.87,3.98,4.34,0.0
20050113:1530,0.09,0.0,5.61,0.17,0.55,3.2,4.0,0.0
20050113:1630,0.0,0.0,0.0,0.0,0.0,2.78,3.93,0.0
20050113:1730,0.0,0.0,0.0,0.0,0.0,2.43,3.86,0.0
20050113:1830,0.0,0.0,0.0,0.0,0.0,1.96,3.66,0.0
20050113:1930,0.0,0.0,0.0,0.0,0.0,1.96,3.24,0.0
20050113:2030,0.0,0.0,0.0,0.0,0.0,1.57,3.31,0.0
20050113:2130,0.0,0.0,0.0,0.0,0.0,1.31,3.31,0.0
20050113:2230,0.0,0.0,0.0,0.0,0.0,1.2,3.31,0.0
20050113:2330,0.0,0.0,0.0,0.0,0.0,1.1,3.31,0.0
20050114:0030,0.0,0.0,0.0,0.0,0.0,0.82,3.24,0.0
20050114:0130,0.0,0.0,0.0,0.0,0.0,0.59,3.17,0.0
20050114:0230,0.0,0.0,0.0,0.0,0.0,0.38,3.17,0.0
20050114:0330,0.0,0.0,0.0,0.0,0.0,0.43,3.1,0.0
20050114:0430,0.0,0.0,0.0,0.0,0.0,0.45,3.03,0.0
20050114:0530,0.0,0.0,0.0,0.0,0.0,0.54,2.9,0.0
20050114:0630,0.0,0.0,0.0,0.0,0.0,0.59,2.76,0.0
20050114:0730,0.91,0.0,7.47,0.2,2.13,0.54,2.41,0.0
20050114:0830,52.27,30.43,41.82,1.19,9.2,0.52,2.34,0.0
20050114:0930,202.87,154.22,78.07,2.75,14.65,1.14,3.17,0.0
20050114:1030,437.11,340.83,147.51,5.42,18.05,1.35,2.9,0.0
20050114:1130,478.57,397.11,139.47,5.86,19.08,2.09,2.97,0.0
20050114:1230,277.99,197.87,116.77,4.09,17.62,2.65,3.03,0.0
20050114:1330,290.58,232.92,97.17,3.59,13.83,2.7,2.62,0.0
20050114:1430,138.19,113.12,55.23,1.7,8.06,2.69,2.48,0.0
20050114:1530,0.16,0.0,5.77,0.17,0.74,2.4,1.72,0.0
20050114:1630,0.0,0.0,0.0,0.0,0.0,1.59,1.52,0.0
20050114:1730,0.0,0.0,0.0,0.0,0.0,0.63,1.52,0.0
20050114:1830,0.0,0.0,0.0,0.0,0.0,-0.36,1.45,0.0
20050114:1930,0.0,0.0,0.0,0.0,0.0,-0.31,1.24,0.0
20050114:2030,0.0,0.0,0.0,0.0,0.0,-0.18,0.97,0.0
20050114:2130,0.0,0.0,0.0,0.0,0.0,-0.42,0.97,0.0
20050114:2230,0.0,0.0,0.0,0.0,0.0,-0.43,0.9,0.0
20050114:2330,0.0,0.0,0.0,0.0,0.0,-0.46,0.83,0.0
20050115:0030,0.0,0.0,0.0,0.0,0.0,-0.24,0.69,0.0
20050115:0130,0.0,0.0,0.0,0.0,0.0,-0.1,0.48,0.0
20050115:0230,0.0,0.0,0.0,0.0,0.0,0.04,0.34,0.0
20050115:0330,0.0,0.0,0.0,0.0,0.0,-0.07,0.41,0.0
20050115:0430,0.0,0.0,0.0,0.0,0.0,-0.13,0.34,0.0
20050115:0530,0.0,0.0,0.0,0.0,0.0,-0.1,0.28,0.0
20050115:0630,0.0,0.0,0.0,0.0,0.0,-0.26,0.41,0.0
20050115:0730,2.15,0.0,9.8,0.27,2.23,-2.22,0.9,0.0
20050115:0830,34.93,13.22,39.03,1.09,9.33,-1.69,0.62,0.0
20050115:0930,192.25,119.57,102.29,3.11,14.8,-0.65,0.55,0.0
20050115:1030,201.31,102.19,131.1,3.9,18.22,1.15,0.62,0.0
20050115:1130,309.89,192.2,159.05,5.01,19.26,1.79,1.45,0.0
20050115:1230,293.59,184.28,148.74,4.67,17.81,2.18,2.0,0.0
20050115:1330,177.57,99.86,108.29,3.2,14.03,2.3,2.14,0.0
20050115:1430,146.76,114.42,62.93,1.87,8.26,2.12,2.0,0.0
20050115:1530,0.7,0.0,7.03,0.21,0.94,1.32,1.72,0.0
20050115:1630,0.0,0.0,0.0,0.0,0.0,0.26,1.86,0.0
